version,1.3.0
info,team,Kings XI Punjab
info,team,Rajasthan Royals
info,gender,male
info,season,2020/21
info,date,2020/09/27
info,competition,Indian Premier League
info,match_number,9
info,venue,Sharjah Cricket Stadium
info,city,
info,toss_winner,Rajasthan Royals
info,toss_decision,field
info,player_of_match,SV Samson
info,umpire,RK Illingworth
info,umpire,K Srinivasan
info,reserve_umpire,VA Kulkarni
info,tv_umpire,C Shamshuddin
info,match_referee,V Narayan Kutty
info,winner,Rajasthan Royals
info,winner_wickets,4
ball,1,13.6,Kings XI Punjab,MA Agarwal,KL Rahul,JC Archer,4,0,"",""
ball,1,14.1,Kings XI Punjab,KL Rahul,MA Agarwal,S Gopal,4,0,"",""
ball,1,14.2,Kings XI Punjab,KL Rahul,MA Agarwal,S Gopal,1,0,"",""
ball,1,14.3,Kings XI Punjab,MA Agarwal,KL Rahul,S Gopal,1,0,"",""
ball,1,14.4,Kings XI Punjab,KL Rahul,MA Agarwal,S Gopal,0,0,"",""
ball,1,14.5,Kings XI Punjab,KL Rahul,MA Agarwal,S Gopal,1,0,"",""
ball,1,14.6,Kings XI Punjab,MA Agarwal,KL Rahul,S Gopal,4,0,"",""
ball,1,15.1,Kings XI Punjab,KL Rahul,MA Agarwal,AS Rajpoot,0,1,"",""
ball,1,15.2,Kings XI Punjab,KL Rahul,MA Agarwal,AS Rajpoot,1,0,"",""
ball,1,15.3,Kings XI Punjab,MA Agarwal,KL Rahul,AS Rajpoot,1,0,"",""
ball,1,15.4,Kings XI Punjab,KL Rahul,MA Agarwal,AS Rajpoot,1,0,"",""
ball,1,15.5,Kings XI Punjab,MA Agarwal,KL Rahul,AS Rajpoot,0,0,"",""
ball,1,15.6,Kings XI Punjab,MA Agarwal,KL Rahul,AS Rajpoot,1,0,"",""
ball,1,15.7,Kings XI Punjab,KL Rahul,MA Agarwal,AS Rajpoot,1,0,"",""
ball,1,16.1,Kings XI Punjab,KL Rahul,MA Agarwal,TK Curran,1,0,"",""
ball,1,16.2,Kings XI Punjab,MA Agarwal,KL Rahul,TK Curran,4,0,"",""
ball,1,16.3,Kings XI Punjab,MA Agarwal,KL Rahul,TK Curran,0,0,caught,MA Agarwal
ball,1,16.4,Kings XI Punjab,KL Rahul,GJ Maxwell,TK Curran,0,0,"",""
ball,1,16.5,Kings XI Punjab,KL Rahul,GJ Maxwell,TK Curran,1,0,"",""
ball,1,16.6,Kings XI Punjab,GJ Maxwell,KL Rahul,TK Curran,1,0,"",""
ball,1,17.1,Kings XI Punjab,GJ Maxwell,KL Rahul,AS Rajpoot,0,0,"",""
ball,1,17.2,Kings XI Punjab,GJ Maxwell,KL Rahul,AS Rajpoot,4,0,"",""
ball,1,17.3,Kings XI Punjab,GJ Maxwell,KL Rahul,AS Rajpoot,4,0,"",""
ball,1,17.4,Kings XI Punjab,GJ Maxwell,KL Rahul,AS Rajpoot,1,0,"",""
ball,1,17.5,Kings XI Punjab,KL Rahul,GJ Maxwell,AS Rajpoot,0,0,"",""
ball,1,17.6,Kings XI Punjab,KL Rahul,GJ Maxwell,AS Rajpoot,0,0,caught,KL Rahul
ball,1,18.1,Kings XI Punjab,GJ Maxwell,N Pooran,TK Curran,1,0,"",""
ball,1,18.2,Kings XI Punjab,N Pooran,GJ Maxwell,TK Curran,1,0,"",""
ball,1,18.3,Kings XI Punjab,GJ Maxwell,N Pooran,TK Curran,0,0,"",""
ball,1,18.4,Kings XI Punjab,GJ Maxwell,N Pooran,TK Curran,1,0,"",""
ball,1,18.5,Kings XI Punjab,N Pooran,GJ Maxwell,TK Curran,6,0,"",""
ball,1,18.6,Kings XI Punjab,N Pooran,GJ Maxwell,TK Curran,2,0,"",""
ball,1,19.1,Kings XI Punjab,GJ Maxwell,N Pooran,JC Archer,0,1,"",""
ball,1,19.2,Kings XI Punjab,GJ Maxwell,N Pooran,JC Archer,1,0,"",""
ball,1,19.3,Kings XI Punjab,N Pooran,GJ Maxwell,JC Archer,6,0,"",""
ball,1,19.4,Kings XI Punjab,N Pooran,GJ Maxwell,JC Archer,4,0,"",""
ball,1,19.5,Kings XI Punjab,N Pooran,GJ Maxwell,JC Archer,0,0,"",""
ball,1,19.6,Kings XI Punjab,N Pooran,GJ Maxwell,JC Archer,0,0,"",""
ball,1,19.7,Kings XI Punjab,N Pooran,GJ Maxwell,JC Archer,6,0,"",""
ball,2,0.1,Rajasthan Royals,JC Buttler,SPD Smith,SS Cottrell,1,0,"",""
ball,2,0.2,Rajasthan Royals,SPD Smith,JC Buttler,SS Cottrell,0,0,"",""
ball,2,0.3,Rajasthan Royals,SPD Smith,JC Buttler,SS Cottrell,0,0,"",""
ball,2,0.4,Rajasthan Royals,SPD Smith,JC Buttler,SS Cottrell,4,0,"",""
ball,2,0.5,Rajasthan Royals,SPD Smith,JC Buttler,SS Cottrell,0,1,"",""
ball,2,0.6,Rajasthan Royals,SPD Smith,JC Buttler,SS Cottrell,0,1,"",""
ball,2,0.7,Rajasthan Royals,SPD Smith,JC Buttler,SS Cottrell,4,0,"",""
ball,2,0.8,Rajasthan Royals,SPD Smith,JC Buttler,SS Cottrell,0,0,"",""
ball,2,1.1,Rajasthan Royals,JC Buttler,SPD Smith,Mohammed Shami,2,0,"",""
ball,2,1.2,Rajasthan Royals,JC Buttler,SPD Smith,Mohammed Shami,0,0,"",""
ball,2,1.3,Rajasthan Royals,JC Buttler,SPD Smith,Mohammed Shami,0,1,"",""
ball,2,1.4,Rajasthan Royals,JC Buttler,SPD Smith,Mohammed Shami,0,0,"",""
ball,2,1.5,Rajasthan Royals,JC Buttler,SPD Smith,Mohammed Shami,1,0,"",""
ball,2,1.6,Rajasthan Royals,SPD Smith,JC Buttler,Mohammed Shami,4,0,"",""
ball,2,1.7,Rajasthan Royals,SPD Smith,JC Buttler,Mohammed Shami,0,0,"",""
ball,2,2.1,Rajasthan Royals,JC Buttler,SPD Smith,SS Cottrell,0,0,"",""
ball,2,2.2,Rajasthan Royals,JC Buttler,SPD Smith,SS Cottrell,0,0,caught,JC Buttler
ball,2,2.3,Rajasthan Royals,SV Samson,SPD Smith,SS Cottrell,0,1,"",""
ball,2,2.4,Rajasthan Royals,SV Samson,SPD Smith,SS Cottrell,6,0,"",""
ball,2,2.5,Rajasthan Royals,SV Samson,SPD Smith,SS Cottrell,0,0,"",""
ball,2,2.6,Rajasthan Royals,SV Samson,SPD Smith,SS Cottrell,4,0,"",""
ball,2,2.7,Rajasthan Royals,SV Samson,SPD Smith,SS Cottrell,0,0,"",""
ball,2,3.1,Rajasthan Royals,SPD Smith,SV Samson,Mohammed Shami,6,0,"",""
ball,2,3.2,Rajasthan Royals,SPD Smith,SV Samson,Mohammed Shami,0,0,"",""
ball,2,3.3,Rajasthan Royals,SPD Smith,SV Samson,Mohammed Shami,4,0,"",""
ball,2,3.4,Rajasthan Royals,SPD Smith,SV Samson,Mohammed Shami,0,0,"",""
ball,2,3.5,Rajasthan Royals,SPD Smith,SV Samson,Mohammed Shami,1,0,"",""
ball,2,3.6,Rajasthan Royals,SV Samson,SPD Smith,Mohammed Shami,3,0,"",""
ball,2,4.1,Rajasthan Royals,SV Samson,SPD Smith,Ravi Bishnoi,0,0,"",""
ball,2,4.2,Rajasthan Royals,SV Samson,SPD Smith,Ravi Bishnoi,0,1,"",""
ball,2,4.3,Rajasthan Royals,SV Samson,SPD Smith,Ravi Bishnoi,0,0,"",""
